id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style
561,Legal,employment,notice period,What does the document say about notice period?,The passage states that notice period is linked to warning sign number 3. A required step is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period is linked to warning sign number 3, and the passage also mentions a required step.","The key point is that notice period is linked to warning sign number 3, and the passage also mentions a required step.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
562,Travel,planning,itinerary,"According to the provided context, what is the key point about itinerary?",The document explains that itinerary is linked to causal factor number 3. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the planning use case.,"The key point is that itinerary is linked to causal factor number 3, and the passage also mentions a verification step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt
563,Healthcare,lab results,anemia,What is the correct answer regarding anemia?,The document explains that anemia is linked to deadline number 6. A required step is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia is linked to deadline number 6, and the passage also mentions a required step.","The key point is that anemia is not linked to deadline number 6; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo
564,Legal,consumer rights,refund policy guidance,Which detail is supported by the context for refund policy guidance?,The source says that refund policy guidance is linked to procedure number 15. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy guidance is linked to procedure number 15, and the passage also mentions a exception clause.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
565,Environment,climate,carbon emissions workflow,"According to the provided context, what is the key point about carbon emissions workflow?",The source says that carbon emissions workflow is linked to deadline number 4. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the climate use case.,"The key point is that carbon emissions workflow is linked to deadline number 4, and the passage also mentions a priority order.","The key point is that carbon emissions workflow is linked to deadline number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
566,Education,concept,machine learning,Which detail is supported by the context for machine learning?,The evidence shows that machine learning is linked to increase number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning is linked to increase number 6, and the passage also mentions a risk factor.",The answer concerns an unrelated topic and says that machine learning is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,knowledge base article
567,Sports,training,recovery guidance,Which detail is supported by the context for recovery guidance?,The context indicates that recovery guidance is linked to comparison number 2. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery guidance is linked to comparison number 2, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that recovery guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt
568,Legal,intellectual property,copyright,Summarize the main fact about copyright from the passage.,The document explains that copyright is linked to threshold number 13. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright is linked to threshold number 13, and the passage also mentions a exception clause.",The answer concerns an unrelated topic and says that copyright is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
569,Education,concept,machine learning guidance,"According to the provided context, what is the key point about machine learning guidance?",The context indicates that machine learning guidance is linked to causal factor number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the concept use case.,"The key point is that machine learning guidance is linked to causal factor number 3, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
570,Legal,contract clause,termination,What does the document say about termination?,The document explains that termination is linked to decrease number 2. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination is linked to decrease number 2, and the passage also mentions a exception clause.","Since termination mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo
571,Healthcare,treatment,hypertension,What does the document say about hypertension?,The document explains that hypertension is linked to recommended action number 7. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the treatment use case.,"The key point is that hypertension is linked to recommended action number 7, and the passage also mentions a exception clause.","The key point is that hypertension is linked to recommended action number 7, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
572,Business,sales,conversion rate,What is the correct answer regarding conversion rate?,The context indicates that conversion rate is linked to comparison number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate is linked to comparison number 8, and the passage also mentions a time window.",The key point is that conversion rate is linked to comparison number 8.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
573,Technology,cloud,auto scaling,"According to the provided context, what is the key point about auto scaling?",The document explains that auto scaling is linked to procedure number 5. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to procedure number 5, and the passage also mentions a exception clause.",The key point is that auto scaling is linked to procedure number 5.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
574,Technology,machine learning,overfitting,Summarize the main fact about overfitting from the passage.,The document explains that overfitting is linked to warning sign number 5. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to warning sign number 5, and the passage also mentions a best practice.","The key point is that overfitting is linked to warning sign number 5, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
575,Education,assignment,research methods policy,"According to the provided context, what is the key point about research methods policy?",The evidence shows that research methods policy is linked to increase number 10. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the assignment use case.,"The key point is that research methods policy is linked to increase number 10, and the passage also mentions a best practice.","The key point is that research methods policy is linked to increase number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
576,Business,strategy,market positioning,What is the correct answer regarding market positioning?,The evidence shows that market positioning is linked to increase number 10. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to increase number 10, and the passage also mentions a risk factor.","Since market positioning mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
577,Business,sales,conversion rate policy,"According to the provided context, what is the key point about conversion rate policy?",The context indicates that conversion rate policy is linked to increase number 13. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate policy is linked to increase number 13, and the passage also mentions a best practice.","The key point is that conversion rate policy is linked to increase number 13, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket
578,Healthcare,lab results,anemia,What is the correct answer regarding anemia?,The evidence shows that anemia is linked to deadline number 15. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia is linked to deadline number 15, and the passage also mentions a risk factor.","The key point is that anemia is linked to deadline number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
579,Finance,risk,emergency fund,"According to the provided context, what is the key point about emergency fund?",The evidence shows that emergency fund is linked to recommended action number 16. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund is linked to recommended action number 16, and the passage also mentions a follow-up action.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
580,Healthcare,diagnosis,type 2 diabetes,What is the correct answer regarding type 2 diabetes?,The source says that type 2 diabetes is linked to warning sign number 3. A time window is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to warning sign number 3, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
581,Legal,privacy,data retention,What is the correct answer regarding data retention?,The source says that data retention is linked to deadline number 5. A time window is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention is linked to deadline number 5, and the passage also mentions a time window.","The key point is that data retention is linked to deadline number 5, and the passage also mentions a time window.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article
582,Technology,security,password hashing benchmark,Summarize the main fact about password hashing benchmark from the passage.,The context indicates that password hashing benchmark is linked to threshold number 7. A time window is also mentioned in the same passage. The document keeps the explanation focused on the security use case.,"The key point is that password hashing benchmark is linked to threshold number 7, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
583,Finance,tax,capital gains,What does the document say about capital gains?,The document explains that capital gains is linked to comparison number 6. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to comparison number 6, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
584,Sports,player performance,stamina,What does the document say about stamina?,The passage states that stamina is linked to warning sign number 13. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina is linked to warning sign number 13, and the passage also mentions a follow-up action.","The key point is that stamina is linked to warning sign number 13, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
585,Legal,employment,notice period benchmark,Summarize the main fact about notice period benchmark from the passage.,The evidence shows that notice period benchmark is linked to guideline number 16. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period benchmark is linked to guideline number 16, and the passage also mentions a risk factor.","The key point is that notice period benchmark is linked to guideline number 16, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket
586,Legal,consumer rights,refund policy,What is the correct answer regarding refund policy?,The evidence shows that refund policy is linked to recommended action number 12. A time window is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy is linked to recommended action number 12, and the passage also mentions a time window.","Since refund policy mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo
587,Finance,banking,loan repayment policy,Summarize the main fact about loan repayment policy from the passage.,The passage states that loan repayment policy is linked to guideline number 12. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment policy is linked to guideline number 12, and the passage also mentions a estimated cost.","The key point is that loan repayment policy is linked to guideline number 12, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt
588,Travel,budget travel,daily spending,Summarize the main fact about daily spending from the passage.,The evidence shows that daily spending is linked to guideline number 17. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to guideline number 17, and the passage also mentions a estimated cost.","The key point is that daily spending is not linked to guideline number 17; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article
589,Finance,investment,index funds overview,Which detail is supported by the context for index funds overview?,The passage states that index funds overview is linked to recommended action number 17. A required step is also mentioned in the same passage. The document keeps the explanation focused on the investment use case.,"The key point is that index funds overview is linked to recommended action number 17, and the passage also mentions a required step.","Since index funds overview mentions a required step, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
590,Technology,cloud,auto scaling policy,Which detail is supported by the context for auto scaling policy?,The context indicates that auto scaling policy is linked to decrease number 1. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling policy is linked to decrease number 1, and the passage also mentions a estimated cost.","The key point is that auto scaling policy is linked to decrease number 1, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
591,Sports,tactics,pressing,"According to the provided context, what is the key point about pressing?",The evidence shows that pressing is linked to increase number 6. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the tactics use case.,"The key point is that pressing is linked to increase number 6, and the passage also mentions a priority order.",The answer concerns an unrelated topic and says that pressing is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
592,Education,study plan,final revision workflow,What is the correct answer regarding final revision workflow?,The context indicates that final revision workflow is linked to warning sign number 14. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision workflow is linked to warning sign number 14, and the passage also mentions a weekly review.","Since final revision workflow mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo
593,Science,earth science,climate patterns benchmark,Summarize the main fact about climate patterns benchmark from the passage.,The source says that climate patterns benchmark is linked to threshold number 2. A required step is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns benchmark is linked to threshold number 2, and the passage also mentions a required step.",The key point is that climate patterns benchmark is linked to threshold number 2.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
594,Finance,credit,credit score,Summarize the main fact about credit score from the passage.,The document explains that credit score is linked to causal factor number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score is linked to causal factor number 8, and the passage also mentions a time window.","Since credit score mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt
595,Technology,machine learning,overfitting,What does the document say about overfitting?,The context indicates that overfitting is linked to comparison number 8. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to comparison number 8, and the passage also mentions a follow-up action.","The key point is that overfitting is not linked to comparison number 8; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note
596,Environment,waste,recycling,Which detail is supported by the context for recycling?,The passage states that recycling is linked to warning sign number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling is linked to warning sign number 2, and the passage also mentions a weekly review.","The key point is that recycling is linked to warning sign number 2, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note
597,Business,marketing,customer retention,Which detail is supported by the context for customer retention?,The context indicates that customer retention is linked to increase number 14. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the marketing use case.,"The key point is that customer retention is linked to increase number 14, and the passage also mentions a estimated cost.",The key point is that customer retention is linked to increase number 14.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo
598,Technology,networking,latency,What is the correct answer regarding latency?,The evidence shows that latency is linked to deadline number 12. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency is linked to deadline number 12, and the passage also mentions a follow-up action.","The key point is that latency is not linked to deadline number 12; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note
599,Legal,contract clause,termination guidance,What is the correct answer regarding termination guidance?,The context indicates that termination guidance is linked to causal factor number 8. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination guidance is linked to causal factor number 8, and the passage also mentions a weekly review.","The key point is that termination guidance is not linked to causal factor number 8; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,knowledge base article
600,Business,marketing,customer retention,Which detail is supported by the context for customer retention?,The passage states that customer retention is linked to deadline number 3. A time window is also mentioned in the same passage. The document keeps the explanation focused on the marketing use case.,"The key point is that customer retention is linked to deadline number 3, and the passage also mentions a time window.",The key point is that customer retention is linked to deadline number 3.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket
601,Environment,waste,recycling benchmark,What does the document say about recycling benchmark?,The passage states that recycling benchmark is linked to deadline number 4. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling benchmark is linked to deadline number 4, and the passage also mentions a verification step.","The key point is that recycling benchmark is linked to deadline number 4, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt
602,Travel,safety,emergency contacts,"According to the provided context, what is the key point about emergency contacts?",The document explains that emergency contacts is linked to procedure number 10. A time window is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to procedure number 10, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note
603,Technology,networking,latency overview,What does the document say about latency overview?,The passage states that latency overview is linked to causal factor number 7. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the networking use case.,"The key point is that latency overview is linked to causal factor number 7, and the passage also mentions a estimated cost.","The key point is that latency overview is linked to causal factor number 7, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt
604,Legal,contract clause,termination overview,What does the document say about termination overview?,The passage states that termination overview is linked to recommended action number 2. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination overview is linked to recommended action number 2, and the passage also mentions a best practice.","The key point is that termination overview is linked to recommended action number 2, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
605,History,period,renaissance overview,Summarize the main fact about renaissance overview from the passage.,The passage states that renaissance overview is linked to warning sign number 10. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the period use case.,"The key point is that renaissance overview is linked to warning sign number 10, and the passage also mentions a priority order.","The key point is that renaissance overview is linked to warning sign number 10, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note
606,History,conflict,world war II,"According to the provided context, what is the key point about world war II?",The document explains that world war II is linked to deadline number 3. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to deadline number 3, and the passage also mentions a risk factor.","The key point is that world war II is linked to deadline number 3, and the passage also mentions a risk factor.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
607,Food,nutrition,protein intake policy,"According to the provided context, what is the key point about protein intake policy?",The context indicates that protein intake policy is linked to procedure number 16. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake policy is linked to procedure number 16, and the passage also mentions a follow-up action.",The key point is that protein intake policy is linked to procedure number 16.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt
608,Education,course selection,statistics guidance,"According to the provided context, what is the key point about statistics guidance?",The passage states that statistics guidance is linked to increase number 12. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the course selection use case.,"The key point is that statistics guidance is linked to increase number 12, and the passage also mentions a estimated cost.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo
609,Healthcare,treatment,hypertension guidance,Which detail is supported by the context for hypertension guidance?,The source says that hypertension guidance is linked to threshold number 4. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the treatment use case.,"The key point is that hypertension guidance is linked to threshold number 4, and the passage also mentions a estimated cost.","The key point is that hypertension guidance is linked to threshold number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article
610,Healthcare,prevention,influenza workflow,"According to the provided context, what is the key point about influenza workflow?",The evidence shows that influenza workflow is linked to increase number 1. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza workflow is linked to increase number 1, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that influenza workflow is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note
611,Sports,match analysis,possession overview,What is the correct answer regarding possession overview?,The document explains that possession overview is linked to increase number 9. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the match analysis use case.,"The key point is that possession overview is linked to increase number 9, and the passage also mentions a exception clause.","The key point is that possession overview is linked to increase number 9, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo
612,Technology,cloud,auto scaling overview,What is the correct answer regarding auto scaling overview?,The evidence shows that auto scaling overview is linked to recommended action number 6. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling overview is linked to recommended action number 6, and the passage also mentions a best practice.","Since auto scaling overview mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
613,Business,operations,inventory turnover,"According to the provided context, what is the key point about inventory turnover?",The context indicates that inventory turnover is linked to recommended action number 7. A time window is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover is linked to recommended action number 7, and the passage also mentions a time window.","Since inventory turnover mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
614,Food,nutrition,protein intake overview,"According to the provided context, what is the key point about protein intake overview?",The passage states that protein intake overview is linked to causal factor number 9. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake overview is linked to causal factor number 9, and the passage also mentions a risk factor.","Since protein intake overview mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,support ticket
615,Education,study plan,final revision,What is the correct answer regarding final revision?,The evidence shows that final revision is linked to causal factor number 8. A required step is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to causal factor number 8, and the passage also mentions a required step.","The key point is that final revision is linked to causal factor number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo
616,Travel,local rules,visa requirements,Which detail is supported by the context for visa requirements?,The passage states that visa requirements is linked to procedure number 13. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the local rules use case.,"The key point is that visa requirements is linked to procedure number 13, and the passage also mentions a follow-up action.",The answer concerns an unrelated topic and says that visa requirements is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket
617,Finance,tax,capital gains workflow,What does the document say about capital gains workflow?,The document explains that capital gains workflow is linked to threshold number 14. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains workflow is linked to threshold number 14, and the passage also mentions a weekly review.","The key point is that capital gains workflow is not linked to threshold number 14; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo
618,Finance,budgeting,monthly expenses guidance,What does the document say about monthly expenses guidance?,The document explains that monthly expenses guidance is linked to threshold number 4. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses guidance is linked to threshold number 4, and the passage also mentions a exception clause.","The key point is that monthly expenses guidance is not linked to threshold number 4; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket
619,Business,HR,employee onboarding policy,"According to the provided context, what is the key point about employee onboarding policy?",The source says that employee onboarding policy is linked to threshold number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding policy is linked to threshold number 15, and the passage also mentions a best practice.","Since employee onboarding policy mentions a best practice, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article
620,Healthcare,diagnosis,type 2 diabetes,What is the correct answer regarding type 2 diabetes?,The document explains that type 2 diabetes is linked to causal factor number 7. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes is linked to causal factor number 7, and the passage also mentions a risk factor.","The key point is that type 2 diabetes is not linked to causal factor number 7; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo
621,Environment,waste,recycling,What does the document say about recycling?,The evidence shows that recycling is linked to guideline number 5. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling is linked to guideline number 5, and the passage also mentions a risk factor.","The key point is that recycling is linked to guideline number 5, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt
622,Business,operations,inventory turnover,What is the correct answer regarding inventory turnover?,The context indicates that inventory turnover is linked to deadline number 15. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the operations use case.,"The key point is that inventory turnover is linked to deadline number 15, and the passage also mentions a exception clause.",The key point is that inventory turnover is linked to deadline number 15.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note
623,Education,study plan,final revision,Which detail is supported by the context for final revision?,The document explains that final revision is linked to deadline number 12. A time window is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision is linked to deadline number 12, and the passage also mentions a time window.","The key point is that final revision is linked to deadline number 12, and the passage also mentions a time window.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note
624,Finance,banking,loan repayment guidance,What is the correct answer regarding loan repayment guidance?,The document explains that loan repayment guidance is linked to decrease number 17. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment guidance is linked to decrease number 17, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article
625,Technology,databases,indexing workflow,Which detail is supported by the context for indexing workflow?,The evidence shows that indexing workflow is linked to deadline number 2. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the databases use case.,"The key point is that indexing workflow is linked to deadline number 2, and the passage also mentions a follow-up action.","Since indexing workflow mentions a follow-up action, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note
626,Food,meal planning,portion control,Which detail is supported by the context for portion control?,The document explains that portion control is linked to threshold number 8. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control is linked to threshold number 8, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that portion control is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
627,Travel,safety,emergency contacts,What does the document say about emergency contacts?,The source says that emergency contacts is linked to increase number 11. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the safety use case.,"The key point is that emergency contacts is linked to increase number 11, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that emergency contacts is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo
628,Finance,tax,capital gains benchmark,What is the correct answer regarding capital gains benchmark?,The context indicates that capital gains benchmark is linked to procedure number 6. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains benchmark is linked to procedure number 6, and the passage also mentions a verification step.","The key point is that capital gains benchmark is linked to procedure number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo
