id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label
719,History,period,renaissance overview,What is the correct answer regarding renaissance overview?,The passage states that renaissance overview is linked to guideline number 7. A time window is also mentioned in the same passage. The document keeps the explanation focused on the period use case.,"The key point is that renaissance overview is linked to guideline number 7, and the passage also mentions a time window.",The key point is that renaissance overview is linked to guideline number 7.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note,"[{'claim': 'The key point is that renaissance overview is linked to guideline number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8358925580978394, 'contradiction': 0.09041321277618408, 'entailment': 0.07369425892829895}}]",UNSUPPORTED
720,Finance,budgeting,monthly expenses,What does the document say about monthly expenses?,The evidence shows that monthly expenses is linked to recommended action number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses is linked to recommended action number 4, and the passage also mentions a best practice.",The answer concerns an unrelated topic and says that monthly expenses is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt,"[{'claim': 'The answer concerns an unrelated topic and says that monthly expenses is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987666606903076, 'neutral': 0.0010920075001195073, 'entailment': 0.0001413291465723887}}]",CONTRADICTED
721,History,conflict,world war II,What is the correct answer regarding world war II?,The document explains that world war II is linked to threshold number 10. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to threshold number 10, and the passage also mentions a exception clause.",The key point is that world war II is linked to threshold number 10.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt,"[{'claim': 'The key point is that world war II is linked to threshold number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5842130780220032, 'entailment': 0.24549610912799835, 'contradiction': 0.1702907532453537}}]",UNSUPPORTED
722,Legal,employment,notice period guidance,Which detail is supported by the context for notice period guidance?,The evidence shows that notice period guidance is linked to procedure number 14. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the employment use case.,"The key point is that notice period guidance is linked to procedure number 14, and the passage also mentions a priority order.","The key point is that notice period guidance is not linked to procedure number 14; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that notice period guidance is not linked to procedure number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996309280395508, 'neutral': 0.00020508079614955932, 'entailment': 0.0001639800175325945}}]",CONTRADICTED
723,Education,learning strategy,note taking,Which detail is supported by the context for note taking?,The document explains that note taking is linked to recommended action number 15. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking is linked to recommended action number 15, and the passage also mentions a weekly review.","The key point is that note taking is not linked to recommended action number 15; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,policy memo,"[{'claim': 'The key point is that note taking is not linked to recommended action number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991849064826965, 'neutral': 0.0004789767845068127, 'entailment': 0.00033614507992751896}}]",CONTRADICTED
724,Healthcare,treatment,hypertension,What does the document say about hypertension?,The document explains that hypertension is linked to recommended action number 6. A required step is also mentioned in the same passage. The document keeps the explanation focused on the treatment use case.,"The key point is that hypertension is linked to recommended action number 6, and the passage also mentions a required step.","The key point is that hypertension is linked to recommended action number 6, and the passage also mentions a required step.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that hypertension is linked to recommended action number 6, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7691020369529724, 'neutral': 0.2244446575641632, 'contradiction': 0.0064533669501543045}}]",SUPPORTED
725,Science,biology,photosynthesis policy,What is the correct answer regarding photosynthesis policy?,The context indicates that photosynthesis policy is linked to recommended action number 9. A time window is also mentioned in the same passage. The document keeps the explanation focused on the biology use case.,"The key point is that photosynthesis policy is linked to recommended action number 9, and the passage also mentions a time window.","The key point is that photosynthesis policy is not linked to recommended action number 9; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that photosynthesis policy is not linked to recommended action number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.998793363571167, 'neutral': 0.0008000467787496746, 'entailment': 0.0004066552792210132}}]",CONTRADICTED
726,Finance,budgeting,monthly expenses,Summarize the main fact about monthly expenses from the passage.,The document explains that monthly expenses is linked to recommended action number 5. A time window is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses is linked to recommended action number 5, and the passage also mentions a time window.","The key point is that monthly expenses is linked to recommended action number 5, and the passage also mentions a time window.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that monthly expenses is linked to recommended action number 5, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5595839023590088, 'neutral': 0.430061399936676, 'contradiction': 0.010354651138186455}}]",SUPPORTED
727,Finance,banking,loan repayment policy,Which detail is supported by the context for loan repayment policy?,The passage states that loan repayment policy is linked to decrease number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment policy is linked to decrease number 6, and the passage also mentions a risk factor.",The key point is that loan repayment policy is linked to decrease number 6.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that loan repayment policy is linked to decrease number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8325408101081848, 'entailment': 0.08697386085987091, 'contradiction': 0.08048535883426666}}]",UNSUPPORTED
728,Healthcare,lab results,anemia policy,What is the correct answer regarding anemia policy?,The document explains that anemia policy is linked to guideline number 6. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia policy is linked to guideline number 6, and the passage also mentions a exception clause.","The key point is that anemia policy is linked to guideline number 6, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,support ticket,"[{'claim': 'The key point is that anemia policy is linked to guideline number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9507492780685425, 'contradiction': 0.04879285395145416, 'entailment': 0.0004579126834869385}}]",UNSUPPORTED
729,Science,astronomy,exoplanets policy,"According to the provided context, what is the key point about exoplanets policy?",The context indicates that exoplanets policy is linked to guideline number 17. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets policy is linked to guideline number 17, and the passage also mentions a verification step.","The key point is that exoplanets policy is not linked to guideline number 17; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that exoplanets policy is not linked to guideline number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.998977541923523, 'neutral': 0.0006920687155798078, 'entailment': 0.00033043985604308546}}]",CONTRADICTED
730,Business,sales,conversion rate,"According to the provided context, what is the key point about conversion rate?",The source says that conversion rate is linked to causal factor number 8. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate is linked to causal factor number 8, and the passage also mentions a estimated cost.","The key point is that conversion rate is linked to causal factor number 8, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that conversion rate is linked to causal factor number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5590266585350037, 'entailment': 0.3921431601047516, 'contradiction': 0.04883018136024475}}]",UNSUPPORTED
731,Education,exam prep,linear algebra,"According to the provided context, what is the key point about linear algebra?",The context indicates that linear algebra is linked to causal factor number 11. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to causal factor number 11, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
732,Finance,investment,index funds,What is the correct answer regarding index funds?,The source says that index funds is linked to causal factor number 11. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the investment use case.,"The key point is that index funds is linked to causal factor number 11, and the passage also mentions a verification step.",The key point is that index funds is linked to causal factor number 11.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that index funds is linked to causal factor number 11.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6670955419540405, 'entailment': 0.2760908901691437, 'contradiction': 0.056813567876815796}}]",UNSUPPORTED
733,Legal,contract clause,termination workflow,What does the document say about termination workflow?,The passage states that termination workflow is linked to deadline number 16. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination workflow is linked to deadline number 16, and the passage also mentions a exception clause.","The key point is that termination workflow is linked to deadline number 16, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that termination workflow is linked to deadline number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8974716067314148, 'contradiction': 0.10171300917863846, 'entailment': 0.0008153044618666172}}]",UNSUPPORTED
734,Environment,water,contamination benchmark,"According to the provided context, what is the key point about contamination benchmark?",The evidence shows that contamination benchmark is linked to threshold number 8. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination benchmark is linked to threshold number 8, and the passage also mentions a estimated cost.",The key point is that contamination benchmark is linked to threshold number 8.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that contamination benchmark is linked to threshold number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.737694263458252, 'entailment': 0.23579096794128418, 'contradiction': 0.02651469223201275}}]",UNSUPPORTED
735,Technology,cloud,auto scaling,What does the document say about auto scaling?,The evidence shows that auto scaling is linked to procedure number 13. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to procedure number 13, and the passage also mentions a risk factor.","The key point is that auto scaling is not linked to procedure number 13; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that auto scaling is not linked to procedure number 13; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996024966239929, 'neutral': 0.00022957146575208753, 'entailment': 0.00016783988394308835}}]",CONTRADICTED
736,Technology,cloud,auto scaling,"According to the provided context, what is the key point about auto scaling?",The document explains that auto scaling is linked to decrease number 9. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to decrease number 9, and the passage also mentions a verification step.","The key point is that auto scaling is linked to decrease number 9, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that auto scaling is linked to decrease number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9762589931488037, 'contradiction': 0.023281536996364594, 'entailment': 0.000459503848105669}}]",UNSUPPORTED
737,Healthcare,prevention,influenza overview,Which detail is supported by the context for influenza overview?,The evidence shows that influenza overview is linked to deadline number 14. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza overview is linked to deadline number 14, and the passage also mentions a estimated cost.","The key point is that influenza overview is linked to deadline number 14, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that influenza overview is linked to deadline number 14, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7597306966781616, 'neutral': 0.23850508034229279, 'contradiction': 0.0017642336897552013}}]",SUPPORTED
738,Healthcare,diagnosis,type 2 diabetes policy,Which detail is supported by the context for type 2 diabetes policy?,The evidence shows that type 2 diabetes policy is linked to recommended action number 16. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes policy is linked to recommended action number 16, and the passage also mentions a exception clause.",The key point is that type 2 diabetes policy is linked to recommended action number 16.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,FAQ excerpt,"[{'claim': 'The key point is that type 2 diabetes policy is linked to recommended action number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6004018783569336, 'entailment': 0.36244022846221924, 'contradiction': 0.03715789318084717}}]",UNSUPPORTED
739,Business,sales,conversion rate,Which detail is supported by the context for conversion rate?,The context indicates that conversion rate is linked to comparison number 12. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the sales use case.,"The key point is that conversion rate is linked to comparison number 12, and the passage also mentions a risk factor.","Since conversion rate mentions a risk factor, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since conversion rate mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9253681898117065, 'contradiction': 0.05057871714234352, 'entailment': 0.024053126573562622}}]",UNSUPPORTED
740,Technology,cloud,auto scaling benchmark,"According to the provided context, what is the key point about auto scaling benchmark?",The passage states that auto scaling benchmark is linked to procedure number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling benchmark is linked to procedure number 2, and the passage also mentions a weekly review.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
741,Education,exam prep,linear algebra,What does the document say about linear algebra?,The context indicates that linear algebra is linked to comparison number 14. A time window is also mentioned in the same passage. The document keeps the explanation focused on the exam prep use case.,"The key point is that linear algebra is linked to comparison number 14, and the passage also mentions a time window.","Since linear algebra mentions a time window, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since linear algebra mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9644928574562073, 'contradiction': 0.02157740108668804, 'entailment': 0.013929777778685093}}]",UNSUPPORTED
742,Finance,credit,credit score policy,"According to the provided context, what is the key point about credit score policy?",The evidence shows that credit score policy is linked to causal factor number 10. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the credit use case.,"The key point is that credit score policy is linked to causal factor number 10, and the passage also mentions a exception clause.",The answer concerns an unrelated topic and says that credit score policy is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that credit score policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.716123640537262, 'neutral': 0.27860698103904724, 'entailment': 0.005269372835755348}}]",CONTRADICTED
743,Environment,water,contamination benchmark,"According to the provided context, what is the key point about contamination benchmark?",The evidence shows that contamination benchmark is linked to procedure number 17. A time window is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination benchmark is linked to procedure number 17, and the passage also mentions a time window.",The key point is that contamination benchmark is linked to procedure number 17.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket,"[{'claim': 'The key point is that contamination benchmark is linked to procedure number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7661301493644714, 'entailment': 0.2046588510274887, 'contradiction': 0.02921105921268463}}]",UNSUPPORTED
744,Healthcare,prevention,influenza,Which detail is supported by the context for influenza?,The source says that influenza is linked to decrease number 16. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza is linked to decrease number 16, and the passage also mentions a estimated cost.","The key point is that influenza is linked to decrease number 16, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that influenza is linked to decrease number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9206012487411499, 'contradiction': 0.07869429141283035, 'entailment': 0.000704410660546273}}]",UNSUPPORTED
745,Legal,privacy,data retention overview,What does the document say about data retention overview?,The context indicates that data retention overview is linked to procedure number 6. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the privacy use case.,"The key point is that data retention overview is linked to procedure number 6, and the passage also mentions a risk factor.","The key point is that data retention overview is not linked to procedure number 6; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that data retention overview is not linked to procedure number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987517595291138, 'neutral': 0.0008180110598914325, 'entailment': 0.00043019914301112294}}]",CONTRADICTED
746,Travel,budget travel,daily spending workflow,"According to the provided context, what is the key point about daily spending workflow?",The evidence shows that daily spending workflow is linked to deadline number 6. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending workflow is linked to deadline number 6, and the passage also mentions a follow-up action.","The key point is that daily spending workflow is linked to deadline number 6, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that daily spending workflow is linked to deadline number 6, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6794243454933167, 'neutral': 0.3061244487762451, 'contradiction': 0.014451134018599987}}]",SUPPORTED
747,Healthcare,diagnosis,type 2 diabetes workflow,Summarize the main fact about type 2 diabetes workflow from the passage.,The passage states that type 2 diabetes workflow is linked to guideline number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes workflow is linked to guideline number 10, and the passage also mentions a weekly review.","The key point is that type 2 diabetes workflow is linked to guideline number 10, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that type 2 diabetes workflow is linked to guideline number 10, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8878843784332275, 'neutral': 0.1097002699971199, 'contradiction': 0.002415331779047847}}]",SUPPORTED
748,Healthcare,medication,asthma benchmark,"According to the provided context, what is the key point about asthma benchmark?",The evidence shows that asthma benchmark is linked to causal factor number 4. A time window is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma benchmark is linked to causal factor number 4, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
749,Healthcare,symptoms,migraine,What does the document say about migraine?,The passage states that migraine is linked to guideline number 1. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the symptoms use case.,"The key point is that migraine is linked to guideline number 1, and the passage also mentions a priority order.","Since migraine mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since migraine mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9669713377952576, 'contradiction': 0.02646353654563427, 'entailment': 0.006565124727785587}}]",UNSUPPORTED
750,Sports,tactics,pressing overview,What does the document say about pressing overview?,The source says that pressing overview is linked to procedure number 6. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the tactics use case.,"The key point is that pressing overview is linked to procedure number 6, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
751,Healthcare,diagnosis,type 2 diabetes benchmark,What does the document say about type 2 diabetes benchmark?,The document explains that type 2 diabetes benchmark is linked to comparison number 9. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the diagnosis use case.,"The key point is that type 2 diabetes benchmark is linked to comparison number 9, and the passage also mentions a exception clause.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,FAQ excerpt,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY
752,Environment,wildlife,habitat loss guidance,"According to the provided context, what is the key point about habitat loss guidance?",The context indicates that habitat loss guidance is linked to procedure number 7. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the wildlife use case.,"The key point is that habitat loss guidance is linked to procedure number 7, and the passage also mentions a weekly review.","The key point is that habitat loss guidance is linked to procedure number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that habitat loss guidance is linked to procedure number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9836428761482239, 'contradiction': 0.015860073268413544, 'entailment': 0.0004970657755620778}}]",UNSUPPORTED
753,Food,diet,fiber,What is the correct answer regarding fiber?,The source says that fiber is linked to decrease number 3. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the diet use case.,"The key point is that fiber is linked to decrease number 3, and the passage also mentions a weekly review.","The key point is that fiber is linked to decrease number 3, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",policy memo,"[{'claim': 'The key point is that fiber is linked to decrease number 3, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5670418739318848, 'neutral': 0.40981200337409973, 'contradiction': 0.0231461264193058}}]",SUPPORTED
754,Legal,contract clause,termination,"According to the provided context, what is the key point about termination?",The evidence shows that termination is linked to comparison number 7. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination is linked to comparison number 7, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that termination is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,policy memo,"[{'claim': 'The answer concerns an unrelated topic and says that termination is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994961023330688, 'neutral': 0.0003790749469771981, 'entailment': 0.00012474079267121851}}]",CONTRADICTED
755,Travel,budget travel,daily spending,Which detail is supported by the context for daily spending?,The passage states that daily spending is linked to comparison number 10. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the budget travel use case.,"The key point is that daily spending is linked to comparison number 10, and the passage also mentions a weekly review.","Since daily spending mentions a weekly review, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,training note,"[{'claim': 'Since daily spending mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9563407301902771, 'contradiction': 0.035729922354221344, 'entailment': 0.007929360494017601}}]",UNSUPPORTED
756,Healthcare,prevention,influenza,"According to the provided context, what is the key point about influenza?",The passage states that influenza is linked to comparison number 11. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the prevention use case.,"The key point is that influenza is linked to comparison number 11, and the passage also mentions a follow-up action.","The key point is that influenza is linked to comparison number 11, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that influenza is linked to comparison number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8320440053939819, 'contradiction': 0.1671990156173706, 'entailment': 0.0007569855661131442}}]",UNSUPPORTED
757,Food,meal planning,portion control,Which detail is supported by the context for portion control?,The document explains that portion control is linked to comparison number 7. A required step is also mentioned in the same passage. The document keeps the explanation focused on the meal planning use case.,"The key point is that portion control is linked to comparison number 7, and the passage also mentions a required step.","The key point is that portion control is linked to comparison number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that portion control is linked to comparison number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9467183351516724, 'contradiction': 0.05278944596648216, 'entailment': 0.0004921811050735414}}]",UNSUPPORTED
758,Science,environmental science,water quality policy,What does the document say about water quality policy?,The context indicates that water quality policy is linked to guideline number 14. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the environmental science use case.,"The key point is that water quality policy is linked to guideline number 14, and the passage also mentions a weekly review.","The key point is that water quality policy is linked to guideline number 14, and the passage also mentions a weekly review.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,support ticket,"[{'claim': 'The key point is that water quality policy is linked to guideline number 14, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9417353272438049, 'neutral': 0.05762479826807976, 'contradiction': 0.0006398826371878386}}]",SUPPORTED
759,Food,recipe,baking guidance,Summarize the main fact about baking guidance from the passage.,The passage states that baking guidance is linked to deadline number 3. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the recipe use case.,"The key point is that baking guidance is linked to deadline number 3, and the passage also mentions a verification step.",The key point is that baking guidance is linked to deadline number 3.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket,"[{'claim': 'The key point is that baking guidance is linked to deadline number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8102572560310364, 'entailment': 0.1709434986114502, 'contradiction': 0.018799273297190666}}]",UNSUPPORTED
760,Business,strategy,market positioning,Summarize the main fact about market positioning from the passage.,The document explains that market positioning is linked to causal factor number 4. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the strategy use case.,"The key point is that market positioning is linked to causal factor number 4, and the passage also mentions a follow-up action.","The key point is that market positioning is linked to causal factor number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that market positioning is linked to causal factor number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6528617739677429, 'neutral': 0.306338369846344, 'contradiction': 0.040799833834171295}}]",SUPPORTED
761,Education,learning strategy,note taking overview,What is the correct answer regarding note taking overview?,The source says that note taking overview is linked to increase number 6. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking overview is linked to increase number 6, and the passage also mentions a best practice.",The key point is that note taking overview is linked to increase number 6.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,training note,"[{'claim': 'The key point is that note taking overview is linked to increase number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9129498600959778, 'entailment': 0.05919879674911499, 'contradiction': 0.02785135619342327}}]",UNSUPPORTED
