faithfulness_result
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9989917874336243, 'neutral': 0.0007802279433235526, 'entailment': 0.00022798424470238388}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that market positioning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987686276435852, 'neutral': 0.000930259411688894, 'entailment': 0.00030111713567748666}}]"
"[{'claim': 'Since industrial revolution policy mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9554272294044495, 'contradiction': 0.03988641873002052, 'entailment': 0.004686357453465462}}]"
"[{'claim': 'The key point is that spices is linked to warning sign number 14, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9026813507080078, 'neutral': 0.09604319930076599, 'contradiction': 0.001275481190532446}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that itinerary benchmark is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9980862140655518, 'neutral': 0.0016480982303619385, 'entailment': 0.0002656693977769464}}]"
"[{'claim': 'The key point is that influenza guidance is linked to procedure number 17, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.978140115737915, 'contradiction': 0.021493449807167053, 'entailment': 0.00036641527549363673}}]"
"[{'claim': 'The key point is that capital gains guidance is linked to comparison number 17, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.47240495681762695, 'contradiction': 0.2960282862186432, 'entailment': 0.2315666824579239}}]"
"[{'claim': 'The key point is that note taking overview is linked to threshold number 1, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8052903413772583, 'entailment': 0.12600287795066833, 'contradiction': 0.06870682537555695}}]"
"[{'claim': 'The key point is that influenza guidance is linked to threshold number 10, and the passage also mentions a follow-up action.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8557029962539673, 'neutral': 0.1432109922170639, 'contradiction': 0.0010860362090170383}}]"
"[{'claim': 'The key point is that habitat loss overview is linked to increase number 13, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7675583362579346, 'neutral': 0.22856363654136658, 'contradiction': 0.003878094721585512}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since photosynthesis overview mentions a verification step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9714866876602173, 'contradiction': 0.021854594349861145, 'entailment': 0.006658685859292746}}]"
"[{'claim': 'The key point is that feature prioritization is linked to guideline number 9.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7582589387893677, 'entailment': 0.15306207537651062, 'contradiction': 0.08867893368005753}}]"
"[{'claim': 'The key point is that data retention overview is not linked to increase number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993059635162354, 'neutral': 0.0003942175244446844, 'entailment': 0.0002998144773300737}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The answer concerns an unrelated topic and says that emergency contacts is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999420166015625, 'neutral': 0.0005244705243967474, 'entailment': 5.537896140594967e-05}}]"
"[{'claim': 'Since itinerary workflow mentions a best practice, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8702088594436646, 'contradiction': 0.10995747894048691, 'entailment': 0.019833721220493317}}]"
"[{'claim': 'The key point is that emergency fund is linked to causal factor number 3, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8175390362739563, 'neutral': 0.17981575429439545, 'contradiction': 0.002645187545567751}}]"
"[{'claim': 'The key point is that storage temperature policy is linked to decrease number 3, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7733281850814819, 'neutral': 0.22294370830059052, 'contradiction': 0.003728140378370881}}]"
"[{'claim': 'The key point is that copyright workflow is linked to decrease number 1, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7977653741836548, 'neutral': 0.18561142683029175, 'contradiction': 0.016623198986053467}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that machine learning is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987951517105103, 'neutral': 0.001080500427633524, 'entailment': 0.0001243045408045873}}]"
"[{'claim': 'The key point is that influenza is linked to deadline number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5641654133796692, 'entailment': 0.4143492877483368, 'contradiction': 0.02148529514670372}}]"
"[{'claim': 'The key point is that possession is linked to causal factor number 6, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5843052864074707, 'neutral': 0.41151243448257446, 'contradiction': 0.004182226024568081}}]"
"[{'claim': 'The key point is that recycling guidance is linked to comparison number 2.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5565277934074402, 'entailment': 0.41829243302345276, 'contradiction': 0.025179751217365265}}]"
"[{'claim': 'The key point is that influenza is linked to recommended action number 5, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5589147806167603, 'neutral': 0.4107722342014313, 'contradiction': 0.03031298518180847}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that force and motion is linked to causal factor number 7, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8569815754890442, 'neutral': 0.1413639485836029, 'contradiction': 0.001654415624216199}}]"
"[{'claim': 'The key point is that market positioning is not linked to deadline number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9981988072395325, 'neutral': 0.0012693111784756184, 'entailment': 0.00053185730939731}}]"
"[{'claim': 'Since habitat loss mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9627974629402161, 'contradiction': 0.032341718673706055, 'entailment': 0.004860821180045605}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that trade routes guidance is linked to recommended action number 1.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8334553241729736, 'entailment': 0.13965971767902374, 'contradiction': 0.026884926483035088}}]"
"[{'claim': 'The key point is that rail schedules is not linked to threshold number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9984747767448425, 'neutral': 0.0009275316842831671, 'entailment': 0.0005976821412332356}}]"
"[{'claim': 'The key point is that itinerary is not linked to comparison number 10; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9984557628631592, 'neutral': 0.0010139967780560255, 'entailment': 0.0005302178906276822}}]"
"[{'claim': 'The key point is that credit score is not linked to increase number 4; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9980036616325378, 'neutral': 0.0012014525709673762, 'entailment': 0.0007948894053697586}}]"
"[{'claim': 'The key point is that inventory turnover policy is linked to comparison number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9477549195289612, 'contradiction': 0.05150273069739342, 'entailment': 0.0007423984352499247}}]"
"[{'claim': 'The key point is that pressing is not linked to procedure number 1; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9936916828155518, 'neutral': 0.004994556307792664, 'entailment': 0.0013138407375663519}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that research methods is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9988388419151306, 'neutral': 0.0011058161035180092, 'entailment': 5.539512130781077e-05}}]"
"[{'claim': 'Since data retention guidance mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9620516896247864, 'contradiction': 0.027463415637612343, 'entailment': 0.010484873317182064}}]"
"[{'claim': 'The key point is that conversion rate guidance is not linked to increase number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9993898868560791, 'entailment': 0.00031588750425726175, 'neutral': 0.0002942525898106396}}]"
"[{'claim': 'The key point is that mauryan empire benchmark is linked to comparison number 1, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5063355565071106, 'neutral': 0.48229002952575684, 'contradiction': 0.011374357156455517}}]"
"[{'claim': 'The key point is that win rate overview is not linked to causal factor number 2; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9988752007484436, 'neutral': 0.0007076960173435509, 'entailment': 0.00041707209311425686}}]"
"[{'claim': 'The key point is that pressing is linked to guideline number 12.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6381462216377258, 'entailment': 0.3206982910633087, 'contradiction': 0.04115550220012665}}]"
"[{'claim': 'The key point is that solar adoption is linked to guideline number 12, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9648792147636414, 'contradiction': 0.0346938818693161, 'entailment': 0.0004268999909982085}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that conversion rate guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9992066025733948, 'neutral': 0.0006698381621390581, 'entailment': 0.00012359468382783234}}]"
"[{'claim': 'The key point is that cancellation policy overview is linked to comparison number 17, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5091779828071594, 'contradiction': 0.4889591634273529, 'entailment': 0.001862834789790213}}]"
"[{'claim': 'The key point is that API rate limiting is linked to causal factor number 12, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8830269575119019, 'neutral': 0.11544299870729446, 'contradiction': 0.0015300677623599768}}]"
"[{'claim': 'The key point is that renaissance overview is linked to guideline number 7.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8358925580978394, 'contradiction': 0.09041321277618408, 'entailment': 0.07369425892829895}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that monthly expenses is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987666606903076, 'neutral': 0.0010920075001195073, 'entailment': 0.0001413291465723887}}]"
"[{'claim': 'The key point is that world war II is linked to threshold number 10.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5842130780220032, 'entailment': 0.24549610912799835, 'contradiction': 0.1702907532453537}}]"
"[{'claim': 'The key point is that notice period guidance is not linked to procedure number 14; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996309280395508, 'neutral': 0.00020508079614955932, 'entailment': 0.0001639800175325945}}]"
"[{'claim': 'The key point is that note taking is not linked to recommended action number 15; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991849064826965, 'neutral': 0.0004789767845068127, 'entailment': 0.00033614507992751896}}]"
"[{'claim': 'The key point is that hypertension is linked to recommended action number 6, and the passage also mentions a required step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7691020369529724, 'neutral': 0.2244446575641632, 'contradiction': 0.0064533669501543045}}]"
"[{'claim': 'The key point is that photosynthesis policy is not linked to recommended action number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.998793363571167, 'neutral': 0.0008000467787496746, 'entailment': 0.0004066552792210132}}]"
"[{'claim': 'The key point is that monthly expenses is linked to recommended action number 5, and the passage also mentions a time window.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5595839023590088, 'neutral': 0.430061399936676, 'contradiction': 0.010354651138186455}}]"
"[{'claim': 'The key point is that loan repayment policy is linked to decrease number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8325408101081848, 'entailment': 0.08697386085987091, 'contradiction': 0.08048535883426666}}]"
"[{'claim': 'The key point is that anemia policy is linked to guideline number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9507492780685425, 'contradiction': 0.04879285395145416, 'entailment': 0.0004579126834869385}}]"
"[{'claim': 'The key point is that exoplanets policy is not linked to guideline number 17; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.998977541923523, 'neutral': 0.0006920687155798078, 'entailment': 0.00033043985604308546}}]"
"[{'claim': 'The key point is that conversion rate is linked to causal factor number 8, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5590266585350037, 'entailment': 0.3921431601047516, 'contradiction': 0.04883018136024475}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that index funds is linked to causal factor number 11.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6670955419540405, 'entailment': 0.2760908901691437, 'contradiction': 0.056813567876815796}}]"
"[{'claim': 'The key point is that termination workflow is linked to deadline number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8974716067314148, 'contradiction': 0.10171300917863846, 'entailment': 0.0008153044618666172}}]"
"[{'claim': 'The key point is that contamination benchmark is linked to threshold number 8.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.737694263458252, 'entailment': 0.23579096794128418, 'contradiction': 0.02651469223201275}}]"
"[{'claim': 'The key point is that auto scaling is not linked to procedure number 13; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9996024966239929, 'neutral': 0.00022957146575208753, 'entailment': 0.00016783988394308835}}]"
"[{'claim': 'The key point is that auto scaling is linked to decrease number 9, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9762589931488037, 'contradiction': 0.023281536996364594, 'entailment': 0.000459503848105669}}]"
"[{'claim': 'The key point is that influenza overview is linked to deadline number 14, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7597306966781616, 'neutral': 0.23850508034229279, 'contradiction': 0.0017642336897552013}}]"
"[{'claim': 'The key point is that type 2 diabetes policy is linked to recommended action number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6004018783569336, 'entailment': 0.36244022846221924, 'contradiction': 0.03715789318084717}}]"
"[{'claim': 'Since conversion rate mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9253681898117065, 'contradiction': 0.05057871714234352, 'entailment': 0.024053126573562622}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since linear algebra mentions a time window, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9644928574562073, 'contradiction': 0.02157740108668804, 'entailment': 0.013929777778685093}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that credit score policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.716123640537262, 'neutral': 0.27860698103904724, 'entailment': 0.005269372835755348}}]"
"[{'claim': 'The key point is that contamination benchmark is linked to procedure number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7661301493644714, 'entailment': 0.2046588510274887, 'contradiction': 0.02921105921268463}}]"
"[{'claim': 'The key point is that influenza is linked to decrease number 16, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9206012487411499, 'contradiction': 0.07869429141283035, 'entailment': 0.000704410660546273}}]"
"[{'claim': 'The key point is that data retention overview is not linked to procedure number 6; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9987517595291138, 'neutral': 0.0008180110598914325, 'entailment': 0.00043019914301112294}}]"
"[{'claim': 'The key point is that daily spending workflow is linked to deadline number 6, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6794243454933167, 'neutral': 0.3061244487762451, 'contradiction': 0.014451134018599987}}]"
"[{'claim': 'The key point is that type 2 diabetes workflow is linked to guideline number 10, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8878843784332275, 'neutral': 0.1097002699971199, 'contradiction': 0.002415331779047847}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'Since migraine mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9669713377952576, 'contradiction': 0.02646353654563427, 'entailment': 0.006565124727785587}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that habitat loss guidance is linked to procedure number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9836428761482239, 'contradiction': 0.015860073268413544, 'entailment': 0.0004970657755620778}}]"
"[{'claim': 'The key point is that fiber is linked to decrease number 3, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.5670418739318848, 'neutral': 0.40981200337409973, 'contradiction': 0.0231461264193058}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that termination is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994961023330688, 'neutral': 0.0003790749469771981, 'entailment': 0.00012474079267121851}}]"
"[{'claim': 'Since daily spending mentions a weekly review, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9563407301902771, 'contradiction': 0.035729922354221344, 'entailment': 0.007929360494017601}}]"
"[{'claim': 'The key point is that influenza is linked to comparison number 11, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8320440053939819, 'contradiction': 0.1671990156173706, 'entailment': 0.0007569855661131442}}]"
"[{'claim': 'The key point is that portion control is linked to comparison number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9467183351516724, 'contradiction': 0.05278944596648216, 'entailment': 0.0004921811050735414}}]"
"[{'claim': 'The key point is that water quality policy is linked to guideline number 14, and the passage also mentions a weekly review.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9417353272438049, 'neutral': 0.05762479826807976, 'contradiction': 0.0006398826371878386}}]"
"[{'claim': 'The key point is that baking guidance is linked to deadline number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8102572560310364, 'entailment': 0.1709434986114502, 'contradiction': 0.018799273297190666}}]"
"[{'claim': 'The key point is that market positioning is linked to causal factor number 4, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6528617739677429, 'neutral': 0.306338369846344, 'contradiction': 0.040799833834171295}}]"
"[{'claim': 'The key point is that note taking overview is linked to increase number 6.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9129498600959778, 'entailment': 0.05919879674911499, 'contradiction': 0.02785135619342327}}]"
"[{'claim': 'The key point is that asthma is linked to recommended action number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7128445506095886, 'entailment': 0.16052235662937164, 'contradiction': 0.12663303315639496}}]"
"[{'claim': 'The key point is that data retention overview is linked to decrease number 10, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9323641657829285, 'contradiction': 0.06687243282794952, 'entailment': 0.0007634320645593107}}]"
"[{'claim': 'Since copyright mentions a required step, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6522660851478577, 'contradiction': 0.31424084305763245, 'entailment': 0.03349310904741287}}]"
"[{'claim': 'Since recycling benchmark mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.934417188167572, 'contradiction': 0.04965655878186226, 'entailment': 0.01592627353966236}}]"
"[{'claim': 'The key point is that final revision policy is linked to increase number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8579758405685425, 'contradiction': 0.08582765609025955, 'entailment': 0.056196507066488266}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that recovery policy is linked to deadline number 10, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9317799210548401, 'neutral': 0.06741825491189957, 'contradiction': 0.0008017654763534665}}]"
"[{'claim': 'The key point is that reaction rate is linked to increase number 4, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9875565767288208, 'contradiction': 0.012084976769983768, 'entailment': 0.0003584637015592307}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that credit score is linked to decrease number 4.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5294519662857056, 'entailment': 0.43571680784225464, 'contradiction': 0.034831251949071884}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that record keeping is linked to increase number 2.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5476542115211487, 'entailment': 0.43122315406799316, 'contradiction': 0.021122656762599945}}]"
"[{'claim': 'The key point is that win rate workflow is linked to causal factor number 14, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8442615270614624, 'neutral': 0.15225571393966675, 'contradiction': 0.003482764819636941}}]"
"[{'claim': 'The key point is that force and motion benchmark is linked to procedure number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9362941980361938, 'contradiction': 0.06329835951328278, 'entailment': 0.000407449493650347}}]"
"[{'claim': 'The key point is that asthma is linked to increase number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8094968795776367, 'contradiction': 0.18950626254081726, 'entailment': 0.0009968585800379515}}]"
"[{'claim': 'Since itinerary mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9446677565574646, 'contradiction': 0.04725726321339607, 'entailment': 0.008075040765106678}}]"
"[{'claim': 'The key point is that auto scaling guidance is not linked to deadline number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9959379434585571, 'neutral': 0.003594034118577838, 'entailment': 0.00046805242891423404}}]"
"[{'claim': 'The key point is that reaction rate guidance is linked to recommended action number 2, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9577301740646362, 'contradiction': 0.04196016490459442, 'entailment': 0.0003097147273365408}}]"
"[{'claim': 'The key point is that climate patterns is linked to causal factor number 5.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6562606692314148, 'entailment': 0.3236713409423828, 'contradiction': 0.020067991688847542}}]"
"[{'claim': 'The key point is that copyright is linked to guideline number 12.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6442319750785828, 'entailment': 0.33581697940826416, 'contradiction': 0.019951071590185165}}]"
"[{'claim': 'The key point is that reaction rate policy is linked to increase number 15.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.725470244884491, 'entailment': 0.22324106097221375, 'contradiction': 0.051288701593875885}}]"
"[{'claim': 'The key point is that visa requirements policy is not linked to deadline number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995737671852112, 'neutral': 0.0002466425357852131, 'entailment': 0.00017962013953365386}}]"
"[{'claim': 'The key point is that civil rights benchmark is not linked to threshold number 5; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9984825253486633, 'neutral': 0.0010078925406560302, 'entailment': 0.0005095227970741689}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that inventory turnover is linked to comparison number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9469013810157776, 'contradiction': 0.05267563462257385, 'entailment': 0.00042298235348425806}}]"
"[{'claim': 'The key point is that indexing workflow is linked to deadline number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6924497485160828, 'entailment': 0.2250860035419464, 'contradiction': 0.08246421813964844}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
"[{'claim': 'The key point is that anemia is linked to decrease number 5, and the passage also mentions a risk factor.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8585728406906128, 'neutral': 0.13988558948040009, 'contradiction': 0.0015415868256241083}}]"
"[{'claim': 'The key point is that climate patterns overview is not linked to recommended action number 11; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995170831680298, 'neutral': 0.0002477369562257081, 'entailment': 0.0002351542207179591}}]"
"[{'claim': 'The key point is that final revision is linked to decrease number 17, and the passage also mentions a best practice.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5002791881561279, 'entailment': 0.4966181516647339, 'contradiction': 0.003102651797235012}}]"
"[{'claim': 'The key point is that monthly expenses policy is linked to guideline number 13.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7608045339584351, 'entailment': 0.15461844205856323, 'contradiction': 0.08457701653242111}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that termination is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9990044236183167, 'neutral': 0.0008504121797159314, 'entailment': 0.00014517002273350954}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that pressing workflow is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9994271993637085, 'neutral': 0.0005175118567422032, 'entailment': 5.525437882170081e-05}}]"
"[{'claim': 'The key point is that research methods guidance is linked to warning sign number 11, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6140535473823547, 'neutral': 0.3839687705039978, 'contradiction': 0.00197772029787302}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that particulate matter is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.990176260471344, 'neutral': 0.008860286325216293, 'entailment': 0.0009634371381253004}}]"
"[{'claim': 'The key point is that photosynthesis overview is linked to increase number 15, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6910620331764221, 'entailment': 0.2577061951160431, 'contradiction': 0.05123180150985718}}]"
"[{'claim': 'Since industrial revolution overview mentions a risk factor, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8875616788864136, 'contradiction': 0.09170041233301163, 'entailment': 0.020737867802381516}}]"
"[{'claim': 'The answer concerns an unrelated topic and says that photosynthesis is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.999445378780365, 'neutral': 0.00040411597001366317, 'entailment': 0.00015052981325425208}}]"
"[{'claim': 'The key point is that win rate guidance is not linked to threshold number 9; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991866946220398, 'neutral': 0.000499815447255969, 'entailment': 0.0003135463921353221}}]"
"[{'claim': 'The key point is that pressing is linked to causal factor number 6, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9479755163192749, 'contradiction': 0.05094992741942406, 'entailment': 0.0010745826875790954}}]"
"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}"
