id,domain,subdomain,topic,question,retrieved_context,ground_truth_answer,model_answer,failure_type,severity,evidence_quality,explanation,source_style,faithfulness_result,faithfulness_label,retrieval_score,retrieval_label,predicted_failure
493,Education,study plan,final revision benchmark,Which detail is supported by the context for final revision benchmark?,The passage states that final revision benchmark is linked to threshold number 1. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the study plan use case.,"The key point is that final revision benchmark is linked to threshold number 1, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,training note,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.8194488812476575,GOOD,Missing Context
494,Legal,consumer rights,refund policy,"According to the provided context, what is the key point about refund policy?",The evidence shows that refund policy is linked to warning sign number 9. A required step is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy is linked to warning sign number 9, and the passage also mentions a required step.",The answer concerns an unrelated topic and says that refund policy is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,support ticket,"[{'claim': 'The answer concerns an unrelated topic and says that refund policy is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9977250695228577, 'neutral': 0.0021010166965425014, 'entailment': 0.00017394658061675727}}]",CONTRADICTED,0.6882770197788799,BAD,Retrieval Failure
495,Science,astronomy,exoplanets,Which detail is supported by the context for exoplanets?,The document explains that exoplanets is linked to comparison number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the astronomy use case.,"The key point is that exoplanets is linked to comparison number 15, and the passage also mentions a best practice.","The key point is that exoplanets is linked to comparison number 15, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that exoplanets is linked to comparison number 15, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7386846542358398, 'neutral': 0.2546677589416504, 'contradiction': 0.006647556554526091}}]",SUPPORTED,0.5038780276197193,BAD,Retrieval Failure
496,Finance,banking,loan repayment guidance,Summarize the main fact about loan repayment guidance from the passage.,The evidence shows that loan repayment guidance is linked to comparison number 12. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the banking use case.,"The key point is that loan repayment guidance is linked to comparison number 12, and the passage also mentions a verification step.","The key point is that loan repayment guidance is linked to comparison number 12, and the passage also mentions a verification step.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,knowledge base article,"[{'claim': 'The key point is that loan repayment guidance is linked to comparison number 12, and the passage also mentions a verification step.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9272855520248413, 'neutral': 0.07189851999282837, 'contradiction': 0.0008159310091286898}}]",SUPPORTED,0.873055453048186,GOOD,No Failure
497,Healthcare,medication,asthma,Summarize the main fact about asthma from the passage.,The passage states that asthma is linked to procedure number 8. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma is linked to procedure number 8, and the passage also mentions a exception clause.","The key point is that asthma is linked to procedure number 8, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that asthma is linked to procedure number 8, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.8981274366378784, 'neutral': 0.09930484741926193, 'contradiction': 0.0025676905643194914}}]",SUPPORTED,0.7669433972190807,GOOD,No Failure
498,Healthcare,medication,asthma overview,Which detail is supported by the context for asthma overview?,The passage states that asthma overview is linked to deadline number 2. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the medication use case.,"The key point is that asthma overview is linked to deadline number 2, and the passage also mentions a risk factor.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,support ticket,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.7960291138497351,GOOD,Missing Context
499,Technology,cloud,auto scaling,What is the correct answer regarding auto scaling?,The context indicates that auto scaling is linked to procedure number 7. A required step is also mentioned in the same passage. The document keeps the explanation focused on the cloud use case.,"The key point is that auto scaling is linked to procedure number 7, and the passage also mentions a required step.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.7831737572435756,GOOD,Missing Context
500,Environment,waste,recycling,What is the correct answer regarding recycling?,The document explains that recycling is linked to decrease number 10. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the waste use case.,"The key point is that recycling is linked to decrease number 10, and the passage also mentions a estimated cost.","The key point is that recycling is linked to decrease number 10, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,policy memo,"[{'claim': 'The key point is that recycling is linked to decrease number 10, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7754829525947571, 'neutral': 0.21758507192134857, 'contradiction': 0.006931980140507221}}]",SUPPORTED,0.34603260333313496,BAD,Retrieval Failure
501,Sports,player performance,stamina,What is the correct answer regarding stamina?,The document explains that stamina is linked to procedure number 14. A time window is also mentioned in the same passage. The document keeps the explanation focused on the player performance use case.,"The key point is that stamina is linked to procedure number 14, and the passage also mentions a time window.","The key point is that stamina is linked to procedure number 14, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that stamina is linked to procedure number 14, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9546045064926147, 'contradiction': 0.04495744779706001, 'entailment': 0.0004379902093205601}}]",UNSUPPORTED,0.3908249166734584,BAD,Retrieval Failure
502,Science,chemistry,reaction rate workflow,What does the document say about reaction rate workflow?,The document explains that reaction rate workflow is linked to deadline number 9. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate workflow is linked to deadline number 9, and the passage also mentions a follow-up action.","The key point is that reaction rate workflow is linked to deadline number 9, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that reaction rate workflow is linked to deadline number 9, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.583177387714386, 'entailment': 0.3893372714519501, 'contradiction': 0.02748533897101879}}]",UNSUPPORTED,0.9032074169799613,GOOD,Hallucination
503,Legal,intellectual property,copyright overview,Summarize the main fact about copyright overview from the passage.,The document explains that copyright overview is linked to increase number 12. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright overview is linked to increase number 12, and the passage also mentions a weekly review.","The key point is that copyright overview is linked to increase number 12, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",knowledge base article,"[{'claim': 'The key point is that copyright overview is linked to increase number 12, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7388240694999695, 'entailment': 0.23665186762809753, 'contradiction': 0.024524010717868805}}]",UNSUPPORTED,0.7902293930003597,GOOD,Hallucination
504,Food,cooking,spices guidance,Which detail is supported by the context for spices guidance?,The source says that spices guidance is linked to procedure number 8. A time window is also mentioned in the same passage. The document keeps the explanation focused on the cooking use case.,"The key point is that spices guidance is linked to procedure number 8, and the passage also mentions a time window.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,policy memo,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.8466039618761085,GOOD,Missing Context
505,Technology,machine learning,overfitting,Which detail is supported by the context for overfitting?,The context indicates that overfitting is linked to deadline number 4. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the machine learning use case.,"The key point is that overfitting is linked to deadline number 4, and the passage also mentions a best practice.","The key point is that overfitting is linked to deadline number 4, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that overfitting is linked to deadline number 4, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.870003879070282, 'neutral': 0.12911371886730194, 'contradiction': 0.0008824088145047426}}]",SUPPORTED,0.794357473010183,GOOD,No Failure
506,Healthcare,lab results,anemia,What is the correct answer regarding anemia?,The document explains that anemia is linked to warning sign number 11. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the lab results use case.,"The key point is that anemia is linked to warning sign number 11, and the passage also mentions a exception clause.","Since anemia mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,policy memo,"[{'claim': 'Since anemia mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9188149571418762, 'contradiction': 0.07787434756755829, 'entailment': 0.003310725325718522}}]",UNSUPPORTED,0.3209669735701407,BAD,Retrieval Failure
507,Finance,tax,capital gains,Summarize the main fact about capital gains from the passage.,The document explains that capital gains is linked to procedure number 13. A time window is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to procedure number 13, and the passage also mentions a time window.","The key point is that capital gains is linked to procedure number 13, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,FAQ excerpt,"[{'claim': 'The key point is that capital gains is linked to procedure number 13, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9173238277435303, 'contradiction': 0.08220507949590683, 'entailment': 0.0004710879293270409}}]",UNSUPPORTED,0.5950106388075048,BAD,Retrieval Failure
508,Finance,tax,capital gains,Summarize the main fact about capital gains from the passage.,The context indicates that capital gains is linked to comparison number 2. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to comparison number 2, and the passage also mentions a weekly review.",The key point is that capital gains is linked to comparison number 2.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that capital gains is linked to comparison number 2.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.508812427520752, 'entailment': 0.46413305401802063, 'contradiction': 0.027054551988840103}}]",UNSUPPORTED,0.5664055507642682,BAD,Retrieval Failure
509,Finance,risk,emergency fund overview,What is the correct answer regarding emergency fund overview?,The passage states that emergency fund overview is linked to deadline number 12. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund overview is linked to deadline number 12, and the passage also mentions a best practice.",The context does not provide enough information to answer confidently.,Missing Context,Medium,Medium,The answer ignores useful evidence that is present in the retrieved context.,knowledge base article,"{'faithfulness_label': 'UNCERTAINTY', 'claims': []}",UNCERTAINTY,0.8957625214650142,GOOD,Missing Context
510,Finance,budgeting,monthly expenses,"According to the provided context, what is the key point about monthly expenses?",The source says that monthly expenses is linked to guideline number 15. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the budgeting use case.,"The key point is that monthly expenses is linked to guideline number 15, and the passage also mentions a best practice.","The key point is that monthly expenses is linked to guideline number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,knowledge base article,"[{'claim': 'The key point is that monthly expenses is linked to guideline number 15, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8887926340103149, 'contradiction': 0.11040341109037399, 'entailment': 0.0008039915701374412}}]",UNSUPPORTED,0.7876863522463309,GOOD,Hallucination
511,Travel,transport,rail schedules overview,Summarize the main fact about rail schedules overview from the passage.,The context indicates that rail schedules overview is linked to warning sign number 3. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the transport use case.,"The key point is that rail schedules overview is linked to warning sign number 3, and the passage also mentions a estimated cost.",The key point is that rail schedules overview is linked to warning sign number 3.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,knowledge base article,"[{'claim': 'The key point is that rail schedules overview is linked to warning sign number 3.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.6731038689613342, 'entailment': 0.2377816140651703, 'contradiction': 0.08911459147930145}}]",UNSUPPORTED,0.8462250696117253,GOOD,Hallucination
512,History,conflict,world war II,What is the correct answer regarding world war II?,The document explains that world war II is linked to warning sign number 13. A risk factor is also mentioned in the same passage. The document keeps the explanation focused on the conflict use case.,"The key point is that world war II is linked to warning sign number 13, and the passage also mentions a risk factor.","The key point is that world war II is linked to warning sign number 13, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",FAQ excerpt,"[{'claim': 'The key point is that world war II is linked to warning sign number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5165296792984009, 'entailment': 0.27136901021003723, 'contradiction': 0.21210132539272308}}]",UNSUPPORTED,0.34825285107927134,BAD,Retrieval Failure
513,Environment,energy,solar adoption policy,What is the correct answer regarding solar adoption policy?,The context indicates that solar adoption policy is linked to guideline number 17. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the energy use case.,"The key point is that solar adoption policy is linked to guideline number 17, and the passage also mentions a exception clause.","The key point is that solar adoption policy is linked to guideline number 17, and the passage also mentions a exception clause.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that solar adoption policy is linked to guideline number 17, and the passage also mentions a exception clause.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.9567438960075378, 'neutral': 0.04229987785220146, 'contradiction': 0.0009561923798173666}}]",SUPPORTED,0.782416449716733,GOOD,No Failure
514,Science,physics,force and motion,Which detail is supported by the context for force and motion?,The document explains that force and motion is linked to guideline number 13. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the physics use case.,"The key point is that force and motion is linked to guideline number 13, and the passage also mentions a verification step.","The key point is that force and motion is linked to guideline number 13, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that force and motion is linked to guideline number 13, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7523193359375, 'entailment': 0.1803738921880722, 'contradiction': 0.0673067718744278}}]",UNSUPPORTED,0.6534399004861161,BAD,Retrieval Failure
515,Finance,risk,emergency fund,What does the document say about emergency fund?,The context indicates that emergency fund is linked to causal factor number 15. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the risk use case.,"The key point is that emergency fund is linked to causal factor number 15, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that emergency fund is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,FAQ excerpt,"[{'claim': 'The answer concerns an unrelated topic and says that emergency fund is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9991915822029114, 'neutral': 0.000602545915171504, 'entailment': 0.00020579298143275082}}]",CONTRADICTED,0.8410386827428893,GOOD,Hallucination
516,Science,earth science,climate patterns,What does the document say about climate patterns?,The passage states that climate patterns is linked to warning sign number 14. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the earth science use case.,"The key point is that climate patterns is linked to warning sign number 14, and the passage also mentions a follow-up action.","The key point is that climate patterns is linked to warning sign number 14, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that climate patterns is linked to warning sign number 14, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.5375539660453796, 'entailment': 0.4295555055141449, 'contradiction': 0.03289058431982994}}]",UNSUPPORTED,0.8502265317371871,GOOD,Hallucination
517,Legal,intellectual property,copyright,Which detail is supported by the context for copyright?,The context indicates that copyright is linked to decrease number 13. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the intellectual property use case.,"The key point is that copyright is linked to decrease number 13, and the passage also mentions a estimated cost.","The key point is that copyright is linked to decrease number 13, and the passage also mentions a estimated cost.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,training note,"[{'claim': 'The key point is that copyright is linked to decrease number 13, and the passage also mentions a estimated cost.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.874564528465271, 'neutral': 0.12459198385477066, 'contradiction': 0.0008435256313532591}}]",SUPPORTED,0.7006074138846009,GOOD,No Failure
518,Business,HR,employee onboarding policy,"According to the provided context, what is the key point about employee onboarding policy?",The evidence shows that employee onboarding policy is linked to recommended action number 16. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding policy is linked to recommended action number 16, and the passage also mentions a best practice.",The key point is that employee onboarding policy is linked to recommended action number 16.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,policy memo,"[{'claim': 'The key point is that employee onboarding policy is linked to recommended action number 16.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7403134703636169, 'entailment': 0.21668899059295654, 'contradiction': 0.04299754649400711}}]",UNSUPPORTED,0.8490331115790803,GOOD,Hallucination
519,Business,marketing,customer retention,Which detail is supported by the context for customer retention?,The source says that customer retention is linked to warning sign number 7. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the marketing use case.,"The key point is that customer retention is linked to warning sign number 7, and the passage also mentions a follow-up action.","The key point is that customer retention is linked to warning sign number 7, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that customer retention is linked to warning sign number 7, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7604569792747498, 'contradiction': 0.2388143241405487, 'entailment': 0.0007286826730705798}}]",UNSUPPORTED,0.5872499606971071,BAD,Retrieval Failure
520,Environment,water,contamination guidance,Which detail is supported by the context for contamination guidance?,The context indicates that contamination guidance is linked to comparison number 10. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the water use case.,"The key point is that contamination guidance is linked to comparison number 10, and the passage also mentions a priority order.","Since contamination guidance mentions a priority order, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,knowledge base article,"[{'claim': 'Since contamination guidance mentions a priority order, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9395066499710083, 'contradiction': 0.050341665744781494, 'entailment': 0.0101515743881464}}]",UNSUPPORTED,0.8248577858242276,GOOD,Hallucination
521,Sports,training,recovery workflow,Summarize the main fact about recovery workflow from the passage.,The source says that recovery workflow is linked to recommended action number 7. A required step is also mentioned in the same passage. The document keeps the explanation focused on the training use case.,"The key point is that recovery workflow is linked to recommended action number 7, and the passage also mentions a required step.","The key point is that recovery workflow is not linked to recommended action number 7; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,support ticket,"[{'claim': 'The key point is that recovery workflow is not linked to recommended action number 7; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9965941309928894, 'neutral': 0.0027333407197147608, 'entailment': 0.0006725454004481435}}]",CONTRADICTED,0.8446766316044548,GOOD,Hallucination
522,Education,learning strategy,note taking,What does the document say about note taking?,The source says that note taking is linked to guideline number 17. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the learning strategy use case.,"The key point is that note taking is linked to guideline number 17, and the passage also mentions a follow-up action.",The key point is that note taking is linked to guideline number 17.,Partial Answer,Medium,Medium,The response captures the core idea but leaves out an important supporting detail.,support ticket,"[{'claim': 'The key point is that note taking is linked to guideline number 17.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7883120775222778, 'entailment': 0.13371284306049347, 'contradiction': 0.07797504961490631}}]",UNSUPPORTED,0.8747834303841057,GOOD,Hallucination
523,Technology,software design,API rate limiting,What is the correct answer regarding API rate limiting?,The document explains that API rate limiting is linked to causal factor number 14. A exception clause is also mentioned in the same passage. The document keeps the explanation focused on the software design use case.,"The key point is that API rate limiting is linked to causal factor number 14, and the passage also mentions a exception clause.","Since API rate limiting mentions a exception clause, the model concludes an unrelated extra result that does not follow.",Reasoning Error,Medium,Medium,The model uses the available evidence but reaches an incorrect inference.,FAQ excerpt,"[{'claim': 'Since API rate limiting mentions a exception clause, the model concludes an unrelated extra result that does not follow.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.966049075126648, 'contradiction': 0.028178881853818893, 'entailment': 0.00577209098264575}}]",UNSUPPORTED,0.8437564601073304,GOOD,Hallucination
524,Legal,consumer rights,refund policy policy,"According to the provided context, what is the key point about refund policy policy?",The document explains that refund policy policy is linked to guideline number 3. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the consumer rights use case.,"The key point is that refund policy policy is linked to guideline number 3, and the passage also mentions a best practice.","The key point is that refund policy policy is not linked to guideline number 3; instead, it is linked to the opposite outcome.",Contradiction,High,Low,The answer directly conflicts with the information in the retrieved context.,training note,"[{'claim': 'The key point is that refund policy policy is not linked to guideline number 3; instead, it is linked to the opposite outcome.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995555281639099, 'neutral': 0.00023038398649077863, 'entailment': 0.00021413042850326747}}]",CONTRADICTED,0.8069196448233906,GOOD,Hallucination
525,Business,HR,employee onboarding,Which detail is supported by the context for employee onboarding?,The passage states that employee onboarding is linked to guideline number 4. A weekly review is also mentioned in the same passage. The document keeps the explanation focused on the HR use case.,"The key point is that employee onboarding is linked to guideline number 4, and the passage also mentions a weekly review.","The key point is that employee onboarding is linked to guideline number 4, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that employee onboarding is linked to guideline number 4, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.7966861724853516, 'entailment': 0.19104281067848206, 'contradiction': 0.012270975857973099}}]",UNSUPPORTED,0.793748031685646,GOOD,Hallucination
526,Finance,investment,index funds policy,Summarize the main fact about index funds policy from the passage.,The document explains that index funds policy is linked to increase number 9. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the investment use case.,"The key point is that index funds policy is linked to increase number 9, and the passage also mentions a best practice.","The key point is that index funds policy is linked to increase number 9, and the passage also mentions a best practice.",No Failure,Low,High,The answer is supported by the retrieved context and matches the expected response.,FAQ excerpt,"[{'claim': 'The key point is that index funds policy is linked to increase number 9, and the passage also mentions a best practice.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.6624287366867065, 'neutral': 0.3173103928565979, 'contradiction': 0.020260890945792198}}]",SUPPORTED,0.8327288570476754,GOOD,No Failure
527,Finance,tax,capital gains,"According to the provided context, what is the key point about capital gains?",The passage states that capital gains is linked to procedure number 8. A priority order is also mentioned in the same passage. The document keeps the explanation focused on the tax use case.,"The key point is that capital gains is linked to procedure number 8, and the passage also mentions a priority order.","The key point is that capital gains is linked to procedure number 8, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that capital gains is linked to procedure number 8, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8894662857055664, 'contradiction': 0.10999409854412079, 'entailment': 0.0005395953194238245}}]",UNSUPPORTED,0.3484705322850473,BAD,Retrieval Failure
528,Food,nutrition,protein intake benchmark,Summarize the main fact about protein intake benchmark from the passage.,The passage states that protein intake benchmark is linked to procedure number 1. A best practice is also mentioned in the same passage. The document keeps the explanation focused on the nutrition use case.,"The key point is that protein intake benchmark is linked to procedure number 1, and the passage also mentions a best practice.","The key point is that protein intake benchmark is linked to procedure number 1, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,policy memo,"[{'claim': 'The key point is that protein intake benchmark is linked to procedure number 1, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.961331307888031, 'contradiction': 0.03828867897391319, 'entailment': 0.0003799836849793792}}]",UNSUPPORTED,0.8981190459247737,GOOD,Hallucination
529,Science,chemistry,reaction rate benchmark,What is the correct answer regarding reaction rate benchmark?,The document explains that reaction rate benchmark is linked to threshold number 10. A verification step is also mentioned in the same passage. The document keeps the explanation focused on the chemistry use case.,"The key point is that reaction rate benchmark is linked to threshold number 10, and the passage also mentions a verification step.","The key point is that reaction rate benchmark is linked to threshold number 10, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",support ticket,"[{'claim': 'The key point is that reaction rate benchmark is linked to threshold number 10, but the supporting reference points to another passage.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.8328630924224854, 'contradiction': 0.09119901806116104, 'entailment': 0.07593782991170883}}]",UNSUPPORTED,0.8590047012087146,GOOD,Hallucination
530,History,culture,trade routes,Which detail is supported by the context for trade routes?,The source says that trade routes is linked to causal factor number 3. A follow-up action is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to causal factor number 3, and the passage also mentions a follow-up action.","The key point is that trade routes is linked to causal factor number 3, but the supporting reference points to another passage.",Wrong Citation,Medium,Medium,"The answer may be correct, but the cited source or evidence reference is incorrect or mismatched.",training note,"[{'claim': 'The key point is that trade routes is linked to causal factor number 3, but the supporting reference points to another passage.', 'label': 'SUPPORTED', 'scores': {'entailment': 0.7289903163909912, 'neutral': 0.2500264048576355, 'contradiction': 0.020983314141631126}}]",SUPPORTED,0.4272289559976054,BAD,Retrieval Failure
531,History,culture,trade routes,What does the document say about trade routes?,The source says that trade routes is linked to guideline number 15. A required step is also mentioned in the same passage. The document keeps the explanation focused on the culture use case.,"The key point is that trade routes is linked to guideline number 15, and the passage also mentions a required step.","The key point is that trade routes is linked to guideline number 15, and it also causes a completely unsupported major issue.",Hallucination,High,Low,The model adds an unsupported detail that does not appear in the retrieved context.,training note,"[{'claim': 'The key point is that trade routes is linked to guideline number 15, and it also causes a completely unsupported major issue.', 'label': 'UNSUPPORTED', 'scores': {'neutral': 0.9309012293815613, 'contradiction': 0.06822072714567184, 'entailment': 0.0008780435309745371}}]",UNSUPPORTED,0.8949526252970988,GOOD,Hallucination
532,Legal,contract clause,termination guidance,What does the document say about termination guidance?,The evidence shows that termination guidance is linked to threshold number 8. A estimated cost is also mentioned in the same passage. The document keeps the explanation focused on the contract clause use case.,"The key point is that termination guidance is linked to threshold number 8, and the passage also mentions a estimated cost.",The answer concerns an unrelated topic and says that termination guidance is mostly about a different domain.,Retrieval Failure,High,Low,The retrieved context is not relevant enough to answer the question well.,training note,"[{'claim': 'The answer concerns an unrelated topic and says that termination guidance is mostly about a different domain.', 'label': 'CONTRADICTED', 'scores': {'contradiction': 0.9995042085647583, 'neutral': 0.00037046606303192675, 'entailment': 0.00012534485722426325}}]",CONTRADICTED,0.8677571422860173,GOOD,Hallucination
